spa,msl,spa_n_caracteres,spa_n_palabras,spa_n_tokens_unicos,spa_longitud_media_palabra,spa_ratio_diversidad,msl_n_caracteres,msl_n_palabras,msl_n_tokens_unicos,msl_longitud_media_palabra,msl_ratio_diversidad,compresion_palabras,ratio_compresion,bin_long_spa
irán,futuro ellos ir,4.0,1.0,1.0,4.0,1.0,15.0,3.0,3.0,4.333333333333333,1.0,-2.0,3.0,1 palabra
irán,futuro ustedes ir,4.0,1.0,1.0,4.0,1.0,17.0,3.0,3.0,5.0,1.0,-2.0,3.0,1 palabra
soy,yo ser,3.0,1.0,1.0,3.0,1.0,6.0,2.0,2.0,2.5,1.0,-1.0,2.0,1 palabra
eres,tú ser,4.0,1.0,1.0,4.0,1.0,6.0,2.0,2.0,2.5,1.0,-1.0,2.0,1 palabra
es,eso ser,2.0,1.0,1.0,2.0,1.0,7.0,2.0,2.0,3.0,1.0,-1.0,2.0,1 palabra
es,él ser,2.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,2.5,1.0,-1.0,2.0,1 palabra
es,ella ser,2.0,1.0,1.0,2.0,1.0,8.0,2.0,2.0,3.5,1.0,-1.0,2.0,1 palabra
son,ellos ser,3.0,1.0,1.0,3.0,1.0,9.0,2.0,2.0,4.0,1.0,-1.0,2.0,1 palabra
son,ustedes ser,3.0,1.0,1.0,3.0,1.0,11.0,2.0,2.0,5.0,1.0,-1.0,2.0,1 palabra
hola,hola,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,1 palabra
¡Ayuda!,Ayuda,7.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,0.0,1.0,1 palabra
Ayuda,Ayuda,5.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,0.0,1.0,1 palabra
Corren,ellos correr,6.0,1.0,1.0,6.0,1.0,12.0,2.0,2.0,5.5,1.0,-1.0,2.0,1 palabra
corre,eso correr,5.0,1.0,1.0,5.0,1.0,10.0,2.0,2.0,4.5,1.0,-1.0,2.0,1 palabra
corre,él correr,5.0,1.0,1.0,5.0,1.0,9.0,2.0,2.0,4.0,1.0,-1.0,2.0,1 palabra
yo,yo,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1 palabra
él,él,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1 palabra
ella,ella,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,1 palabra
tú,tú,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1 palabra
tu,tuyo,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,1 palabra
tu,tuya,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,1 palabra
nosotros,nosotros,8.0,1.0,1.0,8.0,1.0,8.0,1.0,1.0,8.0,1.0,0.0,1.0,1 palabra
ustedes,ustedes,7.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,7.0,1.0,0.0,1.0,1 palabra
mi,mío,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1 palabra
su,suyo,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,1 palabra
su,suya,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,1 palabra
nuestro primo es albañil,primo nuestro albañil,24.0,4.0,4.0,5.25,1.0,21.0,3.0,3.0,6.333333333333333,1.0,1.0,0.75,4 palabras
su papá es bombero,papá suyo bombero,18.0,4.0,4.0,3.75,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
su mamá es maestra,mamá suya maestra,18.0,4.0,4.0,3.75,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
tu hermana es veterinaria,hermano mujer tuya veterinaria,25.0,4.0,4.0,5.5,1.0,30.0,4.0,4.0,6.75,1.0,0.0,1.0,4 palabras
tu hermano es médico,hermano tuyo médico,20.0,4.0,4.0,4.25,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
tu prima es dentista,primo mujer tuya dentista,20.0,4.0,4.0,4.25,1.0,25.0,4.0,4.0,5.5,1.0,0.0,1.0,4 palabras
tu abuelo era soldado,abuelo tuyo soldado,21.0,4.0,4.0,4.5,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
su abuela era monja,abuelo mujer suyo(a) monja,19.0,4.0,4.0,4.0,1.0,26.0,5.0,5.0,4.2,1.0,-1.0,1.25,4 palabras
nuestro,nuestro,7.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,7.0,1.0,0.0,1.0,1 palabra
ellos,ellos,5.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,0.0,1.0,1 palabra
eso,eso,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1 palabra
leímos un libro ayer,ayer nosotros libro leer,20.0,4.0,4.0,4.25,1.0,24.0,4.0,4.0,5.25,1.0,0.0,1.0,4 palabras
leí un libro ayer,ayer yo libro leer,17.0,4.0,4.0,3.5,1.0,18.0,4.0,4.0,3.75,1.0,0.0,1.0,4 palabras
leíste un libro ayer,ayer tú libro leer,20.0,4.0,4.0,4.25,1.0,18.0,4.0,4.0,3.75,1.0,0.0,1.0,4 palabras
leyó un libro ayer,ayer él (ella) libro leer,18.0,4.0,4.0,3.75,1.0,25.0,5.0,5.0,3.8,1.0,-1.0,1.25,4 palabras
leyeron un libro ayer,ayer ellos (as) libro leer,21.0,4.0,4.0,4.5,1.0,26.0,5.0,5.0,4.0,1.0,-1.0,1.25,4 palabras
mi mamá estaba leyendo un libro ayer,ayer mamá mía libro leer,36.0,7.0,7.0,4.285714285714286,1.0,24.0,5.0,5.0,4.0,1.0,2.0,0.7142857142857143,≥7 palabras
mi papá estaba leyendo un libro ayer,ayer papá mío libro leer,36.0,7.0,7.0,4.285714285714286,1.0,24.0,5.0,5.0,4.0,1.0,2.0,0.7142857142857143,≥7 palabras
mi prima estaba leyendo un libro ayer,ayer primo mujer mía libro leer,37.0,7.0,7.0,4.428571428571429,1.0,31.0,6.0,6.0,4.333333333333333,1.0,1.0,0.8571428571428571,≥7 palabras
mi primo estaba leyendo un libro ayer,ayer primo mío libro leer,37.0,7.0,7.0,4.428571428571429,1.0,25.0,5.0,5.0,4.2,1.0,2.0,0.7142857142857143,≥7 palabras
mi novio estaba leyendo un libro ayer,ayer novio mío libro leer,37.0,7.0,7.0,4.428571428571429,1.0,25.0,5.0,5.0,4.2,1.0,2.0,0.7142857142857143,≥7 palabras
mi novia estaba leyendo un libro ayer,ayer novio mujer mío libro leer,37.0,7.0,7.0,4.428571428571429,1.0,31.0,6.0,6.0,4.333333333333333,1.0,1.0,0.8571428571428571,≥7 palabras
mi abuelo estaba leyendo un libro ayer,ayer abuelo mío libro leer,38.0,7.0,7.0,4.571428571428571,1.0,26.0,5.0,5.0,4.4,1.0,2.0,0.7142857142857143,≥7 palabras
mi abuela estaba leyendo un libro ayer,ayer abuelo mujer mío libro leer,38.0,7.0,7.0,4.571428571428571,1.0,32.0,6.0,6.0,4.5,1.0,1.0,0.8571428571428571,≥7 palabras
mi amiga estaba leyendo un libro ayer,ayer amigo mujer mío libro leer,37.0,7.0,7.0,4.428571428571429,1.0,31.0,6.0,6.0,4.333333333333333,1.0,1.0,0.8571428571428571,≥7 palabras
mi amigo estaba leyendo un libro ayer,ayer amigo mío libro leer,37.0,7.0,7.0,4.428571428571429,1.0,25.0,5.0,5.0,4.2,1.0,2.0,0.7142857142857143,≥7 palabras
mi suegra estaba leyendo un libro ayer,ayer suegro mujer mía leer,38.0,7.0,7.0,4.571428571428571,1.0,26.0,5.0,5.0,4.4,1.0,2.0,0.7142857142857143,≥7 palabras
tu mamá estaba leyendo un libro ayer,ayer mamá tuya libro leer,36.0,7.0,7.0,4.285714285714286,1.0,25.0,5.0,5.0,4.2,1.0,2.0,0.7142857142857143,≥7 palabras
tu papá estaba leyendo un libro ayer,ayer papá tuyo libro leer,36.0,7.0,7.0,4.285714285714286,1.0,25.0,5.0,5.0,4.2,1.0,2.0,0.7142857142857143,≥7 palabras
tu prima estaba leyendo un libro ayer,ayer primo mujer tuya libro leer,37.0,7.0,7.0,4.428571428571429,1.0,32.0,6.0,6.0,4.5,1.0,1.0,0.8571428571428571,≥7 palabras
tu primo estaba leyendo un libro ayer,ayer primo tuyo libro leer,37.0,7.0,7.0,4.428571428571429,1.0,26.0,5.0,5.0,4.4,1.0,2.0,0.7142857142857143,≥7 palabras
tu novio estaba leyendo un libro ayer,ayer novio tuyo libro leer,37.0,7.0,7.0,4.428571428571429,1.0,26.0,5.0,5.0,4.4,1.0,2.0,0.7142857142857143,≥7 palabras
tu novia estaba leyendo un libro ayer,ayer novio mujer tuya libro leer,37.0,7.0,7.0,4.428571428571429,1.0,32.0,6.0,6.0,4.5,1.0,1.0,0.8571428571428571,≥7 palabras
tu abuelo estaba leyendo un libro ayer,ayer abuelo tuyo libro leer,38.0,7.0,7.0,4.571428571428571,1.0,27.0,5.0,5.0,4.6,1.0,2.0,0.7142857142857143,≥7 palabras
tu abuela estaba leyendo un libro ayer,ayer abuelo mujer tuya libro leer,38.0,7.0,7.0,4.571428571428571,1.0,33.0,6.0,6.0,4.666666666666667,1.0,1.0,0.8571428571428571,≥7 palabras
tu amiga estaba leyendo un libro ayer,ayer amigo mujer tuya libro leer,37.0,7.0,7.0,4.428571428571429,1.0,32.0,6.0,6.0,4.5,1.0,1.0,0.8571428571428571,≥7 palabras
tu amigo estaba leyendo un libro ayer,ayer amigo tuyo libro leer,37.0,7.0,7.0,4.428571428571429,1.0,26.0,5.0,5.0,4.4,1.0,2.0,0.7142857142857143,≥7 palabras
leímos el periódico ayer,ayer nosotros periódico leer,24.0,4.0,4.0,5.25,1.0,28.0,4.0,4.0,6.25,1.0,0.0,1.0,4 palabras
leí el periódico ayer,ayer yo periódico leer,21.0,4.0,4.0,4.5,1.0,22.0,4.0,4.0,4.75,1.0,0.0,1.0,4 palabras
leíste el periódico ayer,ayer tú periódico leer,24.0,4.0,4.0,5.25,1.0,22.0,4.0,4.0,4.75,1.0,0.0,1.0,4 palabras
leyó el periódico ayer,ayer él (ella) periódico leer,22.0,4.0,4.0,4.75,1.0,29.0,5.0,5.0,4.6,1.0,-1.0,1.25,4 palabras
leyeron el periódico ayer,ayer ellos (as) periódico leer,25.0,4.0,4.0,5.5,1.0,30.0,5.0,5.0,4.8,1.0,-1.0,1.25,4 palabras
mi mamá estaba leyendo un periódico ayer,ayer mamá mía periódico leer,40.0,7.0,7.0,4.857142857142857,1.0,28.0,5.0,5.0,4.8,1.0,2.0,0.7142857142857143,≥7 palabras
mi papá estaba leyendo un periódico ayer,ayer papá mío periódico leer,40.0,7.0,7.0,4.857142857142857,1.0,28.0,5.0,5.0,4.8,1.0,2.0,0.7142857142857143,≥7 palabras
mi prima estaba leyendo un periódico ayer,ayer primo mujer mía periódico leer,41.0,7.0,7.0,5.0,1.0,35.0,6.0,6.0,5.0,1.0,1.0,0.8571428571428571,≥7 palabras
mi primo estaba leyendo un periódico ayer,ayer primo mío periódico leer,41.0,7.0,7.0,5.0,1.0,29.0,5.0,5.0,5.0,1.0,2.0,0.7142857142857143,≥7 palabras
mi novio estaba leyendo un periódico ayer,ayer novio mío periódico leer,41.0,7.0,7.0,5.0,1.0,29.0,5.0,5.0,5.0,1.0,2.0,0.7142857142857143,≥7 palabras
mi novia estaba leyendo un periódico ayer,ayer novio mujer mío periódico leer,41.0,7.0,7.0,5.0,1.0,35.0,6.0,6.0,5.0,1.0,1.0,0.8571428571428571,≥7 palabras
mi abuelo estaba leyendo un periódico ayer,ayer abuelo mío periódico leer,42.0,7.0,7.0,5.142857142857143,1.0,30.0,5.0,5.0,5.2,1.0,2.0,0.7142857142857143,≥7 palabras
mi abuela estaba leyendo un periódico ayer,ayer abuelo mujer mío periódico leer,42.0,7.0,7.0,5.142857142857143,1.0,36.0,6.0,6.0,5.166666666666667,1.0,1.0,0.8571428571428571,≥7 palabras
mi amiga estaba leyendo un periódico ayer,ayer amigo mujer mío periódico leer,41.0,7.0,7.0,5.0,1.0,35.0,6.0,6.0,5.0,1.0,1.0,0.8571428571428571,≥7 palabras
mi amigo estaba leyendo un periódico ayer,ayer amigo mío periódico leer,41.0,7.0,7.0,5.0,1.0,29.0,5.0,5.0,5.0,1.0,2.0,0.7142857142857143,≥7 palabras
tu mamá estaba leyendo un libro ayer,ayer mamá tuya libro leer,36.0,7.0,7.0,4.285714285714286,1.0,25.0,5.0,5.0,4.2,1.0,2.0,0.7142857142857143,≥7 palabras
tu papá estaba leyendo un periódico ayer,ayer papá tuyo periódico leer,40.0,7.0,7.0,4.857142857142857,1.0,29.0,5.0,5.0,5.0,1.0,2.0,0.7142857142857143,≥7 palabras
tu prima estaba leyendo un periódico ayer,ayer primo mujer tuya periódico leer,41.0,7.0,7.0,5.0,1.0,36.0,6.0,6.0,5.166666666666667,1.0,1.0,0.8571428571428571,≥7 palabras
tu primo estaba leyendo un periódico ayer,ayer primo tuyo periódico leer,41.0,7.0,7.0,5.0,1.0,30.0,5.0,5.0,5.2,1.0,2.0,0.7142857142857143,≥7 palabras
tu novio estaba leyendo un periódico ayer,ayer novio tuyo periódico leer,41.0,7.0,7.0,5.0,1.0,30.0,5.0,5.0,5.2,1.0,2.0,0.7142857142857143,≥7 palabras
tu novia estaba leyendo un periódico ayer,ayer novio mujer tuya periódico leer,41.0,7.0,7.0,5.0,1.0,36.0,6.0,6.0,5.166666666666667,1.0,1.0,0.8571428571428571,≥7 palabras
tu abuelo estaba leyendo un periódico ayer,ayer abuelo tuyo periódico leer,42.0,7.0,7.0,5.142857142857143,1.0,31.0,5.0,5.0,5.4,1.0,2.0,0.7142857142857143,≥7 palabras
tu abuela estaba leyendo un periódico ayer,ayer abuelo mujer tuya periódico leer,42.0,7.0,7.0,5.142857142857143,1.0,37.0,6.0,6.0,5.333333333333333,1.0,1.0,0.8571428571428571,≥7 palabras
tu amiga estaba leyendo un periódico ayer,ayer amigo mujer tuya periódico leer,41.0,7.0,7.0,5.0,1.0,36.0,6.0,6.0,5.166666666666667,1.0,1.0,0.8571428571428571,≥7 palabras
tu amigo estaba leyendo un periódico ayer,ayer amigo tuyo periódico leer,41.0,7.0,7.0,5.0,1.0,30.0,5.0,5.0,5.2,1.0,2.0,0.7142857142857143,≥7 palabras
leímos una revista ayer,ayer nosotros revista leer,23.0,4.0,4.0,5.0,1.0,26.0,4.0,4.0,5.75,1.0,0.0,1.0,4 palabras
leí una revista ayer,ayer yo revista leer,20.0,4.0,4.0,4.25,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
leíste una revista ayer,ayer tú revista leer,23.0,4.0,4.0,5.0,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
leyó una revista ayer,ayer él (ella) revista leer,21.0,4.0,4.0,4.5,1.0,27.0,5.0,5.0,4.2,1.0,-1.0,1.25,4 palabras
leyeron una revista ayer,ayer ellos (as) revista leer,24.0,4.0,4.0,5.25,1.0,28.0,5.0,5.0,4.4,1.0,-1.0,1.25,4 palabras
mi mamá estaba leyendo una revista ayer,ayer mamá mía revista leer,39.0,7.0,7.0,4.714285714285714,1.0,26.0,5.0,5.0,4.4,1.0,2.0,0.7142857142857143,≥7 palabras
mi papá estaba leyendo una revista ayer,ayer papá mío revista leer,39.0,7.0,7.0,4.714285714285714,1.0,26.0,5.0,5.0,4.4,1.0,2.0,0.7142857142857143,≥7 palabras
mi prima estaba leyendo una revista ayer,ayer primo mujer mía revista leer,40.0,7.0,7.0,4.857142857142857,1.0,33.0,6.0,6.0,4.666666666666667,1.0,1.0,0.8571428571428571,≥7 palabras
mi primo estaba leyendo una revista ayer,ayer primo mío revista leer,40.0,7.0,7.0,4.857142857142857,1.0,27.0,5.0,5.0,4.6,1.0,2.0,0.7142857142857143,≥7 palabras
mi novio estaba leyendo un revista ayer,ayer novio mío revista leer,39.0,7.0,7.0,4.714285714285714,1.0,27.0,5.0,5.0,4.6,1.0,2.0,0.7142857142857143,≥7 palabras
mi novia estaba leyendo una revista ayer,ayer novio mujer mío revista leer,40.0,7.0,7.0,4.857142857142857,1.0,33.0,6.0,6.0,4.666666666666667,1.0,1.0,0.8571428571428571,≥7 palabras
mi abuelo estaba leyendo una revista ayer,ayer abuelo mío revista leer,41.0,7.0,7.0,5.0,1.0,28.0,5.0,5.0,4.8,1.0,2.0,0.7142857142857143,≥7 palabras
mi abuela estaba leyendo una revista ayer,ayer abuelo mujer mío revista leer,41.0,7.0,7.0,5.0,1.0,34.0,6.0,6.0,4.833333333333333,1.0,1.0,0.8571428571428571,≥7 palabras
mi amiga estaba leyendo una revista ayer,ayer amigo mujer mío revista leer,40.0,7.0,7.0,4.857142857142857,1.0,33.0,6.0,6.0,4.666666666666667,1.0,1.0,0.8571428571428571,≥7 palabras
mi amigo estaba leyendo una revista ayer,ayer amigo mío revista leer,40.0,7.0,7.0,4.857142857142857,1.0,27.0,5.0,5.0,4.6,1.0,2.0,0.7142857142857143,≥7 palabras
te gusta el chocolate,tú chocolate gustar,21.0,4.0,4.0,4.5,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
me gusta el chocolate,yo chocolate gustar,21.0,4.0,4.0,4.5,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
le gusta el chocolate,ella chocolate gustar,21.0,4.0,4.0,4.5,1.0,21.0,3.0,3.0,6.333333333333333,1.0,1.0,0.75,4 palabras
le gusta el chocolate,él chocolate gustar,21.0,4.0,4.0,4.5,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
les gusta el chocolate,ellos chocolate gustar,22.0,4.0,4.0,4.75,1.0,22.0,3.0,3.0,6.666666666666667,1.0,1.0,0.75,4 palabras
les gusta el chocolate,ellas chocolate gustar,22.0,4.0,4.0,4.75,1.0,22.0,3.0,3.0,6.666666666666667,1.0,1.0,0.75,4 palabras
les gusta el chocolate,ustedes chocolate gustar,22.0,4.0,4.0,4.75,1.0,24.0,3.0,3.0,7.333333333333333,1.0,1.0,0.75,4 palabras
nos gusta el chocolate,nosotros chocolate gustar,22.0,4.0,4.0,4.75,1.0,25.0,3.0,3.0,7.666666666666667,1.0,1.0,0.75,4 palabras
no te gusta el chocolate,tú chocolate gustar no,24.0,5.0,5.0,4.0,1.0,22.0,4.0,4.0,4.75,1.0,1.0,0.8,5 palabras
no me gusta el chocolate,yo chocolate gustar no,24.0,5.0,5.0,4.0,1.0,22.0,4.0,4.0,4.75,1.0,1.0,0.8,5 palabras
no le gusta el chocolate,él chocolate gustar no,24.0,5.0,5.0,4.0,1.0,22.0,4.0,4.0,4.75,1.0,1.0,0.8,5 palabras
no les gusta el chocolate,ellos chocolate gustar no,25.0,5.0,5.0,4.2,1.0,25.0,4.0,4.0,5.5,1.0,1.0,0.8,5 palabras
no les gusta el chocolate,ellas chocolate gustar no,25.0,5.0,5.0,4.2,1.0,25.0,4.0,4.0,5.5,1.0,1.0,0.8,5 palabras
no les gusta el chocolate,ustedes chocolate gustar no,25.0,5.0,5.0,4.2,1.0,27.0,4.0,4.0,6.0,1.0,1.0,0.8,5 palabras
nos gusta el chocolate,nosotros chocolate gustar no,22.0,4.0,4.0,4.75,1.0,28.0,4.0,4.0,6.25,1.0,0.0,1.0,4 palabras
a mi mamá le gusta el chocolate,mamá mía chocolate gustar,31.0,7.0,7.0,3.5714285714285716,1.0,25.0,4.0,4.0,5.5,1.0,3.0,0.5714285714285714,≥7 palabras
a mi mamá no le gusta el chocolate,mamá mía chocolate gustar no,34.0,8.0,8.0,3.375,1.0,28.0,5.0,5.0,4.8,1.0,3.0,0.625,≥7 palabras
a mi papá le gusta el chocolate,papá mío chocolate gustar,31.0,7.0,7.0,3.5714285714285716,1.0,25.0,4.0,4.0,5.5,1.0,3.0,0.5714285714285714,≥7 palabras
a mi papá no le gusta el chocolate,papá mío chocolate gustar no,34.0,8.0,8.0,3.375,1.0,28.0,5.0,5.0,4.8,1.0,3.0,0.625,≥7 palabras
a mi hermano no le gusta el chocolate,hermano mío chocolate gustar no,37.0,8.0,8.0,3.75,1.0,31.0,5.0,5.0,5.4,1.0,3.0,0.625,≥7 palabras
a mi hermano le gusta el chocolate,hermano mío chocolate gustar,34.0,7.0,7.0,4.0,1.0,28.0,4.0,4.0,6.25,1.0,3.0,0.5714285714285714,≥7 palabras
a mi hermana no le gusta el chocolate,hermano mujer mía chocolate gustar no,37.0,8.0,8.0,3.75,1.0,37.0,6.0,6.0,5.333333333333333,1.0,2.0,0.75,≥7 palabras
a mi hermano le gusta el chocolate,hermano mío chocolate gustar,34.0,7.0,7.0,4.0,1.0,28.0,4.0,4.0,6.25,1.0,3.0,0.5714285714285714,≥7 palabras
a mi prima le gusta el chocolate,primo mujer mía chocolate gustar,32.0,7.0,7.0,3.7142857142857144,1.0,32.0,5.0,5.0,5.6,1.0,2.0,0.7142857142857143,≥7 palabras
a mi primo no le gusta el chocolate,primo mío chocolate gustar no,35.0,8.0,8.0,3.5,1.0,29.0,5.0,5.0,5.0,1.0,3.0,0.625,≥7 palabras
a mi tía le gusta el chocolate,tío mujer mía chocolate gustar,30.0,7.0,7.0,3.4285714285714284,1.0,30.0,5.0,5.0,5.2,1.0,2.0,0.7142857142857143,≥7 palabras
a mi tía no le gusta el chocolate,tío mujer mía chocolate gustar no,33.0,8.0,8.0,3.25,1.0,33.0,6.0,6.0,4.666666666666667,1.0,2.0,0.75,≥7 palabras
a mi tío no le gusta el chocolate,tío mío chocolate gustar no,33.0,8.0,8.0,3.25,1.0,27.0,5.0,5.0,4.6,1.0,3.0,0.625,≥7 palabras
a mi tío le gusta el chocolate,tío mío chocolate gustar,30.0,7.0,7.0,3.4285714285714284,1.0,24.0,4.0,4.0,5.25,1.0,3.0,0.5714285714285714,≥7 palabras
a mi abuelo le gusta el chocolate,abuelo mío chocolate gustar,33.0,7.0,7.0,3.857142857142857,1.0,27.0,4.0,4.0,6.0,1.0,3.0,0.5714285714285714,≥7 palabras
a mi abuelo no le gusta el chocolate,abuelo mío chocolate gustar no,36.0,8.0,8.0,3.625,1.0,30.0,5.0,5.0,5.2,1.0,3.0,0.625,≥7 palabras
a mi abuela no le gusta el chocolate,abuelo mujer mía chocolate gustar no,36.0,8.0,8.0,3.625,1.0,36.0,6.0,6.0,5.166666666666667,1.0,2.0,0.75,≥7 palabras
a mi abuela le gusta el chocolate,abuelo mujer mía chocolate gustar,33.0,7.0,7.0,3.857142857142857,1.0,33.0,5.0,5.0,5.8,1.0,2.0,0.7142857142857143,≥7 palabras
a tu mamá le gusta el chocolate,mamá tuya chocolate gustar,31.0,7.0,7.0,3.5714285714285716,1.0,26.0,4.0,4.0,5.75,1.0,3.0,0.5714285714285714,≥7 palabras
a tu mamá no le gusta el chocolate,mamá tuya chocolate gustar no,34.0,8.0,8.0,3.375,1.0,29.0,5.0,5.0,5.0,1.0,3.0,0.625,≥7 palabras
a tu papá le gusta el chocolate,papá tuyo chocolate gustar,31.0,7.0,7.0,3.5714285714285716,1.0,26.0,4.0,4.0,5.75,1.0,3.0,0.5714285714285714,≥7 palabras
a tu papá no le gusta el chocolate,papá tuyo chocolate gustar no,34.0,8.0,8.0,3.375,1.0,29.0,5.0,5.0,5.0,1.0,3.0,0.625,≥7 palabras
a tu hermano no le gusta el chocolate,hermano tuyo chocolate gustar no,37.0,8.0,8.0,3.75,1.0,32.0,5.0,5.0,5.6,1.0,3.0,0.625,≥7 palabras
